"Whatsapp_Date" "Message"
"13/05/18 20.35" "peringatan dini cuaca luwu raya tgl 13 mei 2018 pkl.20:10 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 20:40 wita di wilayah  luwu timur bagian barat dan sekitarnya dan dapat meluas ke wilayah malangke, luwu utara bagian timur dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 22:40 wita. prakirawan - bmkg masamba"
"13/05/18 23.58" "peringatan dini cuaca luwu raya tgl 13 mei 2018 pkl.23:10 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 23:40 wita di wilayah  malangke dan sekitarnya dan dapat meluas ke wilayah lamasi, walenrang dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl.01:40 wita. prakirawan - bmkg masamba"
"14/05/18 01.17" "update peringatan dini cuaca luwu raya tgl 14 mei 2018 pkl.01:10 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 01:40 wita di wilayah  malangke, lamasi, walenrang, talluwanua dan sekitarnya dan dapat meluas ke wilayah sabbang, baebunta, palopo dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl.03:40 wita. prakirawan - bmkg masamba"
"14/05/18 05.23" "update peringatan dini cuaca luwu raya tgl 14 mei 2018 pkl.05:10 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 05:40 wita di wilayah tana lili,  walenrang, talluwanua, palopo,wara, palopo, bua, luwu, rantepao, toraja dan sekitarnya dan dapat meluas ke wilayah bone-bone dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl.07:40 wita. prakirawan - bmkg masamba"
"14/05/18 05.51" "*update peringatan dini cuaca sulawesi selatan tgl 14 mei 2018 pkl. 05.30 wita*. masih berpotensi terjadi *hujan lebat* disertai *kilat/petir* pada pkl. 06.00 di wilayah kab/kota. makale, rantepao, enrekang, sinjai, pinrang, jeneponto, bantaeng, *dan dapat meluas* ke wilayah kota/kab. bulukumba, takalar, bone, pare-pare, dan barru. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 09.00 wita. *prakirawan - bmkg makassar* http://bmkg.go.id"
"14/05/18 07.25" "update peringatan dini cuaca luwu raya tgl 14 mei 2018 pkl.07:10 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 07:40 wita di wilayah luwu utara bagian timur dan sekitarnya dan dapat meluas ke wilayah limbong dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl.09:40 wita. prakirawan - bmkg masamba"
"14/05/18 10.47" "*peringatan dini cuaca sulawesi selatan tgl 14 mei 2018 pkl. 10.30 wita*. berpotensi terjadi hujan intensitas sedang – lebat disertai kilat/petir dan angin kencang pada pkl. 11.00 di wilayah kab bantaeng, sinjai, bone, belopa, sidrap, soppeng,  barru, parepare, pangkep, maros, gowa. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 13.00 wita. *prakirawan - bmkg makassar* http://bmkg.go.id"
"14/05/18 11.57" "*update peringatan dini cuaca sulawesi selatan tgl 14 mei 2018*. masih berpotensi terjadi hujan intensitas sedang – lebat disertai kilat/petir dan angin kencang pada pkl. 11.50 di wilayah kota/kab makassar, maros, gowa, pangkep, barru, soppeng, bone, bantaeng dan sinjai. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 13.30 wita. *prakirawan - bmkg makassar* http://bmkg.go.id"
"14/05/18 13.35" "*update peringatan dini cuaca sulawesi selatan tgl 14 mei 2018*. masih berpotensi terjadi hujan intensitas sedang – lebat disertai kilat/petir dan angin kencang pada pkl. 13.30 di wilayah kota/kab sinjai, bone, soppeng,  barru, pangkep, maros, makassar, gowa, bantaeng dan bulukumba. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 15.30 wita. *prakirawan - bmkg makassar* http://bmkg.go.id"
"14/05/18 14.35" "peringatan dini cuaca luwu raya tgl 14 mei 2018 pkl. 14:15 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 14:45 wita di wilayah luwu timur dan dapat meluas ke wilayah sukamaju, rampi, limbong, rantepao dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 16:45 wita. prakirawan - bmkg masamba"
