"Whatsapp_Date" "Message"
"03/06/18 20.07" "*peringatan dini cuaca sulawesi selatan tgl. 03 juni 2018 pkl. 20:00 wita.* berpotensi hujan lebat disertai kilat/petir dan angin kencang pada  pkl. 20:30 wita di wilayah *kota/kab.* *bone, sinjai* (bulu poddo, pulau sembilan, sinjai selatan, sinjai tengah, sinjai timur, sinjai utara, tellu limpoe), *bulukumba* (bulukumpa, gantorang, herolangelange, kajang, rilauale, ujung bulu, ujungloe)  *dan dapat meluas* ke wilayah *kota/kab*. *bone* (bontocani, patimpeng, ponre), *wajo* (mainangpajo, tanasitolo), *sinjai* (sinjai barat). kondisi ini diperkirakan dapat terjadi hingga pkl. 22:30 wita *prakirawan-bmkg makassar*"
"03/06/18 22.15" "*update peringatan dini cuaca sulawesi selatan tgl. 03 juni 2018 pkl. 22:00 wita.* masih berpotensi hujan lebat disertai kilat/petir dan angin kencang pada  pkl. 22:30 wita di wilayah *kota/kab.* *bone, bulukumba*, *maros* (cenrana, tompubulu), *wajo* (majauleng, pammana, penrang, sajoanging, takalalla), *gowa* (manuju, parigi, tambolopao, tunggimoncong), *sinjai* (pulau sembilan, sinjai barat, sinjai borong, sinjai tengah, sinjai timur, sinjai utara, tellu limpoe), *bantaeng* (tompo bulu, uluere), *dan dapat meluas* ke wilayah *kota/kab*. *pangkep* (balocci, tondong tallasa), *bantaeng* (bantaeng, bisappu, eremerasa, gantarang keke, pajukukang, sinoa), *maros* (bantimurung, camba, mallawa, simbang, tanralili), *gowa* (biringbulu, bontolempangang, bungaya, parangloe, tompobullu), *sinjai* (bulu poddo, sinjai selatan), *sidrap* (dua pitue, pitu riase), *soppeng* (lalabata, liliraja, marioriwawo), *bone* (lamuru, lappariaja, tellulimpoe), *bulukumba* (rilauale), *jeneponto* (rumbia), *wajo* (sabbangparu, tenpe). kondisi ini diperkirakan dapat terjadi hingga tgl. 04 jun 2018 pkl.  01:00 wita. *prakirawan-bmkg makassar*"
"04/06/18 10.19" "peringatan dini cuaca luwu raya tgl 04 juni 2018 pkl. 10.10 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 10.40 wita di wilayah luwu timur dan dapat meluas ke wilayah masamba bagian utara dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 12.40 wita. prakirawan - bmkg masamba"
"04/06/18 12.12" "peringatan dini cuaca luwu raya tgl 04 juni 2018 pkl. 12.10 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 12.40 wita di wilayah luwu timur dan dapat meluas ke wilayah masamba bagian utara, sukamaju, limbong, masamba dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 14.40 wita. prakirawan - bmkg masamba"
"04/06/18 14.14" "update peringatan dini cuaca luwu raya tgl 04 juni 2018 pkl. 14.10 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 14.40 wita di wilayah luwu timur dan dapat meluas ke wilayah masamba bagian utara, sukamaju, limbong, burau dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 16.40 wita. prakirawan - bmkg masamba"
"04/06/18 16.20" "update peringatan dini cuaca luwu raya tgl 04 juni 2018 pkl. 16.10 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 16.40 wita di wilayah palopo, luwu bagian utara dan dapat meluas ke wilayah masamba bagian utara dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 19.40 wita. prakirawan - bmkg masamba"
"06/06/18 23.14" "peringatan dini cuaca luwu raya tgl 06 juni 2018 pkl. 22.50 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 23.20 wita di wilayah tanalili, luwu timur bagian barat dan sekitar nya, dan dapat meluas ke wilayah bone-bone, sukamaju dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 01.20 wita. prakirawan - bmkg masamba"
"07/06/18 11.57" "peringatan dini cuaca luwu raya tgl 07 juni 2018 pkl. 11.40 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 12.10 wita di wilayah palopo, luwu utara (malangke, malangke barat) dan sekitarnya, dan dapat meluas ke wilayah walenrang, lamasi, baebunta dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 14.10 wita. prakirawan - bmkg masamba"
"08/06/18 22.27" "peringatan dini cuaca luwu raya tgl 08 juni 2018 pkl. 22.00 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 22.30 wita di wilayah luwu timur bag barat dan dapat meluas ke wilayah tanalili dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 01.30 wita. prakirawan - bmkg masamba"
"09/06/18 01.28" "update peringatan dini cuaca luwu raya tgl 09 juni 2018 pkl. 01.00 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 01.30 wita di wilayah luwu timur bag barat, tanalili, bone-bone dan dapat meluas ke wilayah malangke, sukamaju dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 04.30 wita. prakirawan - bmkg masamba"
"10/06/18 23.47" "update peringatan dini cuaca luwu raya tgl 10 juni 2018 pkl. 23.10 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 23.40 wita di wilayah malangke, sabbang, lamasi, walenrang dan sekitarnya dan dapat meluas ke wilayah masamba, baebunta, limbong dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl.01.40 wita. prakirawan - bmkg masamba"
"11/06/18 20.27" "peringatan dini cuaca luwu raya tgl 11 juni 2018 pkl. 20.15 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 20.45 wita di wilayah luwu timur bag barat, tanalili, masamba bag utara dan dapat meluas ke wilayah masamba, mappedeceng malangke dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 23.45 wita. prakirawan - bmkg masamba"
"11/06/18 23.43" "update peringatan dini cuaca luwu raya tgl 11 juni 2018 pkl. 23.15 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 23.45 wita di wilayah malangke, baebunta, sabbang dan dapat meluas ke wilayah malangke barat, limbong, kab luwu bag utara dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 02.45 wita. prakirawan - bmkg masamba"
"12/06/18 03.06" "update peringatan dini cuaca luwu raya tgl 12 juni 2018 pkl. 02.15 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 02.45 wita di wilayah malangke, malangke barat, sabbang, kab luwu bag utara, kota palopo dan dapat meluas ke wilayah kab luwu bag selatan, limbong dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 05.45 wita. prakirawan - bmkg masamba"
"12/06/18 05.16" "update peringatan dini cuaca luwu raya tgl 12 juni 2018 pkl. 05.15 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 05.45 wita di wilayah malangke barat, kab luwu, kota palopo dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 07.45 wita. prakirawan - bmkg masamba"
"12/06/18 08.15" "*peringatan dini cuaca sulawesi selatan tgl. 12 jun 2018 pkl. 08:00 wita.* masih berpotensi hujan lebat disertai kilat/petir dan angin kencang pada  pkl. 08:30 wita. di wilayah *kota/kab.* *enrekang*, *sidrap, pinrang*, *wajo* (belawa, mainangpajo), *tana toraja* (mappak) *dan dapat meluas* ke wilayah *kota/kab*. *tana toraja* (bonggakaradeng, simbuang), . kondisi ini diperkirakan dapat terjadi hingga  pkl. 10:30 wita. *prakirawan - bmkg makassar* http://bmkg.go.id"
"12/06/18 21.05" "peringatan dini cuaca luwu raya tgl 12 juni 2018 pkl. 21.00 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 21.30 wita di wilayah luwu timur, masamba bag utara dan dapat meluas ke wilayah sabbang, baebunta, masamba, malangke, tanalili dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 00.30 wita. prakirawan - bmkg masamba"
"13/06/18 00.02" "update peringatan dini cuaca luwu raya tgl 13 juni 2018 pkl. 00.00 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 00.30 wita di wilayah luwu timur bag barat, masamba bag utara, masamba, tanalili dan dapat meluas ke wilayah bone-bone, sukamaju, malangke, kab luwu bag selatan, kota palopo dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 03.30 wita. prakirawan - bmkg masamba"
"13/06/18 15.42" "peringatan dini cuaca luwu raya tgl 13 juni 2018 pkl. 15.40 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 16.10 wita di wilayah luwu timur bag barat, rampi, rantepao dan dapat meluas ke wilayah tanalili dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 18.10 wita. prakirawan - bmkg masamba"
"13/06/18 17.21" "update peringatan dini cuaca luwu raya tgl 13 juni 2018 pkl. 17.20 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 17.50 wita di wilayah luwu timur, rantepao dan dapat meluas ke wilayah masamba, sabbang, baebunta, limbong dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 19.50 wita. prakirawan - bmkg masamba"
"13/06/18 19.21" "update peringatan dini cuaca luwu raya tgl 13 juni 2018 pkl. 19.20 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 19.50 wita di wilayah luwu timur bagian timur, rantepao dan dapat meluas ke wilayah masamba, sabbang, baebunta, limbong, masamba bagian utara dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 21.50 wita. prakirawan - bmkg masamba"
"13/06/18 21.24" "update peringatan dini cuaca luwu raya tgl 13 juni 2018 pkl. 21.20 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 21.50 wita di wilayah luwu timur, rantepao, lamasi, walenrang, wara, wara barat, telluwanua dan dapat meluas ke wilayah masamba, sabbang, baebunta, limbong, malangke, masamba bagian utara dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 00.50 wita. prakirawan - bmkg masamba"
"13/06/18 23.22" "update peringatan dini cuaca luwu raya tgl 13 juni 2018 pkl. 23.20 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 23.50 wita di wilayah luwu timur, rantepao, lamasi, walenrang, wara, wara barat, telluwanua dan dapat meluas ke wilayah masamba, sabbang, baebunta, limbong, malangke, masamba bagian utara dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 02.50 wita. prakirawan - bmkg masamba"
"14/06/18 02.24" "update peringatan dini cuaca luwu raya tgl 14 juni 2018 pkl. 02.20 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 02.50 wita di wilayah kab. luwu, tana toraja, kota palopo dan dapat meluas ke wilayah luwu utara dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 05.50 wita. prakirawan - bmkg masamba"
"15/06/18 05.31" "*peringatan dini cuaca luwu raya tgl 15 juni 2018 pkl. 05.00 wita*. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 05.30 wita di wilayah kab luwu bag selatan, masamba *dan dapat meluas ke wilayah* kota palopo, kab luwu bag utara, malangke dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 07.30 wita. *prakirawan - bmkg masamba*"
