"Whatsapp_Date" "Message"
"01/06/18 01.01" "update peringatan dini cuaca luwu raya tgl 01 juni 2018 pkl. 01:00 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 01:30 wita di wilayah luwu timur bag barat, tanalili, bone-bone, sukamaju, malangke, kab luwu bag selatan, mappedeceng, masamba bag utara dan dapat meluas ke wilayah masamba, malangke barat dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 04:30 wita. prakirawan - bmkg masamba"
"01/06/18 04.17" "update peringatan dini cuaca luwu raya tgl 01 juni 2018 pkl. 04:00 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 04:30 wita di wilayah luwu timur bag barat (burau), malangke, malangke barat, kab luwu bag selatan dan dapat meluas ke wilayah kota palopo, kab luwu bag utata, tanalili, bone-bone, sabbang dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 07:30 wita. prakirawan - bmkg masamba"
"01/06/18 07.07" "update peringatan dini cuaca luwu raya tgl 01 juni 2018 pkl. 07:00 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 07:30 wita di wilayah luwu timur bag barat (burau) dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 09:30 wita. prakirawan - bmkg masamba"
"02/06/18 21.03" "peringatan dini cuaca luwu raya tgl 02 juni 2018 pkl.19.30 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 20.00 wita di wilayah masamba, baebunta dapat meluas ke wilayah mappedeceng, sabbang dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 22.00 wita. prakirawan - bmkg masamba"
"03/06/18 00.33" "peringatan dini cuaca luwu raya tgl 03 juni 2018 pkl.00.30 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 01.00 wita di wilayah luwu dan sekitarnya dan dapat meluas ke wilayah malangke lamasi, talluwanua dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 03.00 wita. prakirawan - bmkg masamba"
"03/06/18 05.54" "update peringatan dini cuaca luwu raya tgl 03 juni 2018 pkl.05.30 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 06.00 wita di wilayah sabbang, malangke,, walenrang dan sekitarnya dan dapat meluas ke wilayahbaebunta dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 08.00 wita. prakirawan - bmkg masamba"
"03/06/18 07.30" "update peringatan dini cuaca luwu raya tgl 03 juni 2018 pkl.07.30 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 08.00 wita di wilayah wara, bara, talluwanua,, walenrang dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 10.00 wita. prakirawan - bmkg masamba"
"03/06/18 12.51" "peringatan dini cuaca luwu raya tgl 03 juni 2018 pkl. 12.40 wita. berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 13.10 wita di wilayah wara barat, baebunta, masamba, rantepao dan dapat meluas ke wilayah limbong, sabbang, malangke, malangke barat, tanalili, burau dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 15.10 wita. prakirawan - bmkg masamba"
"03/06/18 14.47" "update peringatan dini cuaca luwu raya tgl 03 juni 2018 pkl. 14.40 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 15.10 wita di wilayah limbong, sabbang, masamba bagian utara dan dapat meluas ke wilayah malangke barat, lamasi, luwu timur, masamba dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 17.10 wita. prakirawan - bmkg masamba"
"03/06/18 18.28" "update peringatan dini cuaca luwu raya tgl 03 juni 2018 pkl. 18.20 wita. masih berpotensi terjadi hujan sedang-lebat disertai kilat/petir dan angin kencang pada pkl. 18.50 wita di wilayah luwu timur, mappedeceng, masamba, sukamaju, bone-bone dan dapat meluas ke wilayah baebunta, tanalili dan sekitarnya. kondisi ini diperkirakan masih dapat berlangsung hingga pkl. 20.50 wita. prakirawan - bmkg masamba"
